Company
"The Estée Lauder Companies Inc."
"L’Oréal S.A."
"The Procter & Gamble Company"
"Unilever PLC"
"Bath & Body Works, Inc."
"Revlon, Inc."
"Coty Inc."
"Victoria’s Secret & Co."
"Henkel AG & Co. KGaA"
"SC Johnson & Son, Inc."
